After plans/performance/plan_state_info.md implementation:

=== Perft verification ===
  Source:     perft_values.md
  Max depth:  6
  Test cases: 41

  Test #1    PASS (6 depths) [1.849 s]
  Test #2    PASS (6 depths) [27.731 s]
  Test #3    PASS (6 depths) [2.977 s]
  Test #4    PASS (6 depths) [3.012 s]
  Test #5    PASS (6 depths) [0.515 s]
  Test #6    PASS (6 depths) [0.532 s]
  Test #7    PASS (6 depths) [0.261 s]
  Test #8    PASS (6 depths) [0.049 s]
  Test #9    PASS (6 depths) [0.238 s]
  Test #10   PASS (6 depths) [0.649 s]
  Test #11   PASS (6 depths) [0.419 s]
  Test #12   PASS (6 depths) [1.916 s]
  Test #13   PASS (6 depths) [33.910 s]
  Test #14   PASS (6 depths) [4.281 s]
  Test #15   PASS (6 depths) [5.329 s]
  Test #16   PASS (6 depths) [12.270 s]
  Test #17   PASS (6 depths) [0.478 s]
  Test #18   PASS (6 depths) [0.165 s]
  Test #19   PASS (6 depths) [0.213 s]
  Test #20   PASS (6 depths) [1.847 s]
  Test #21   PASS (6 depths) [11.919 s]
  Test #22   PASS (6 depths) [15.231 s]
  Test #23   PASS (6 depths) [11.304 s]
  Test #24   PASS (6 depths) [14.367 s]
  Test #25   PASS (6 depths) [1.439 s]
  Test #26   PASS (6 depths) [9.364 s]
  Test #27   PASS (6 depths) [0.402 s]
  Test #28   PASS (6 depths) [0.030 s]
  Test #29   PASS (6 depths) [0.031 s]
  Test #30   PASS (6 depths) [0.002 s]
  Test #31   PASS (6 depths) [5.512 s]
  Test #32   PASS (6 depths) [10.205 s]
  Test #33   PASS (6 depths) [27.075 s]
  Test #34   PASS (6 depths) [0.479 s]
  Test #35   PASS (6 depths) [1.470 s]
  Test #36   PASS (6 depths) [0.113 s]
  Test #37   PASS (6 depths) [0.528 s]
  Test #38   PASS (6 depths) [1.204 s]
  Test #39   PASS (6 depths) [0.338 s]
  Test #40   PASS (6 depths) [0.042 s]
  Test #41   PASS (6 depths) [0.438 s]

--- Summary ---
  Fastest:     Test #30 (0.002 s)
  Slowest:     Test #13 (33.910 s)
  Average:     5.125 s per test
  Total time:  210.133 s
  Result:      41/41 passed, 0/41 failed
